student number: ,Age: 18,Gender: 1
Original Word,Word,RT
R_DI_,RADID,2786
FRA__,FRADF,2284
M_R_ER,MARSER,2775
CO__SE,COADSE,1588
DE__,DEAS,439
W__DOW,WADDOW,393
DI__S,DIAAS,467
P__TURE,PGHTURE,870
BUR__D,BURDGD,266
TAB__,TABSD,542
HO_S_,HOSSF,350
PLA__,PLARR,258
SP__D,SPRFD,304
TR__,TRSD,297
TEA__,TEAEY,327
MU__,MUSF,332
CAR__T,CARSRT,272
BU_LD_NG,BUSLDFNG,377
__NG,SDNG,268
SH__,SHSE,354
D__R,DDFR,621
_O_SE,SOGSE,268
KI__ED,KISDED,216
SK__L,SKSDL,283
R_D_O,RSDEO,255
K__GS,KSFGS,307
B_T_LE,BSTDLE,237
WAT__,WATSE,319
POST__,POSTSF,278
P_P_R,PSPRR,351
FL_W_R,FLSWDR,398
CHA__,CHASD,249
__OK,SFOK,330
CL__K,CLSRK,282
C_T,CST,225
FO__ER,FOSFER,293
COFF__,COFFSR,252
GRA__,GRASD,268
